release_date,genres,id
2018,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",761140
2018,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",643980
2017,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",670290
2017,"['Action', 'Adventure', 'Casual']",767400
2018,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",772540
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774276
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774277
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774278
2018,"['Indie', 'Casual', 'Simulation', 'Racing']",768800
2018,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",770380
2018,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",768880
2018,"['Indie', 'Casual', 'Simulation']",765320
2018,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773650
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774271
2018,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773690
2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774279
2018,"['Action', 'Adventure', 'Indie']",768060
2017,"['Simulation', 'Racing', 'Sports']",775880
2017,"['Simulation', 'Racing', 'Sports']",775881
2018,"['Indie', 'Action']",653960
2018,"['Design & Illustration', 'Tutorial']",777910
1997,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",282010
1998,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",70
2016,"['Action', 'RPG', 'Indie']",752360
2018,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']",520680
2018,"['Action', 'Platformer', 'Side Scroller']",690410
2018,"['Casual', 'Indie', 'Simulation']",766850
2018,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']",413120
2017,"['Adventure', 'Indie', 'Casual']",773120
2018,"['Action', 'Adventure', 'RPG']",754360
2018,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",716110
2006,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",1640
2006,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",1630
2006,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",2400
2017,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']",381620
2017,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",759920
2018,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']",659780
2017,"['Indie', 'Action', 'Adventure', 'RPG']",603280
2017,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",753110
2017,"['Indie', 'Action']",753100
2017,"['Action', 'Adventure', 'Casual']",764280
2017,"['Adventure', 'Indie', 'Casual', 'Free to Play']",758550
2005,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",3800
2006,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",1520
2006,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",2420
2006,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",4000
2006,"['Racing', 'Simulation']",4230
2006,"['Casual', 'Indie', 'Puzzle']",4900
2006,"['Casual', 'Indie', 'Singleplayer']",2520
2003,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",6200
2006,"['Strategy', 'Simulation', 'Management']",6210
2006,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",6300
2006,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",2990
2005,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",6220
2007,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",6510
2006,"['Strategy', 'City Builder', 'Simulation', 'Rome']",3980
2002,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",1700
2000,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",6310
2006,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",3990
