,release_date,genres,id
88310,2018,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",761140
88311,2018,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",643980
88312,2017,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",670290
88313,2017,"['Action', 'Adventure', 'Casual']",767400
88315,2018,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",772540
88316,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774276
88317,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774277
88318,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774278
88319,2018,"['Indie', 'Casual', 'Simulation', 'Racing']",768800
88322,2018,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",770380
88323,2018,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",768880
88324,2018,"['Indie', 'Casual', 'Simulation']",765320
88325,2018,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773650
88326,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774271
88327,2018,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773690
88328,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774279
88331,2018,"['Action', 'Adventure', 'Indie']",768060
88333,2017,"['Simulation', 'Racing', 'Sports']",775880
88334,2017,"['Simulation', 'Racing', 'Sports']",775881
88335,2018,"['Indie', 'Action']",653960
88336,2018,"['Design & Illustration', 'Tutorial']",777910
88337,1997,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",282010
88338,1998,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",70
88339,2016,"['Action', 'RPG', 'Indie']",752360
88341,2018,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']",520680
88342,2018,"['Action', 'Platformer', 'Side Scroller']",690410
88343,2018,"['Casual', 'Indie', 'Simulation']",766850
88344,2018,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']",413120
88345,2017,"['Adventure', 'Indie', 'Casual']",773120
88347,2018,"['Action', 'Adventure', 'RPG']",754360
88348,2018,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",716110
88349,2006,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",1640
88350,2006,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",1630
88351,2006,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",2400
88353,2017,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']",381620
88356,2017,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",759920
88357,2018,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']",659780
88358,2017,"['Indie', 'Action', 'Adventure', 'RPG']",603280
88359,2017,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",753110
88360,2017,"['Indie', 'Action']",753100
88362,2017,"['Action', 'Adventure', 'Casual']",764280
88364,2017,"['Adventure', 'Indie', 'Casual', 'Free to Play']",758550
88365,2005,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",3800
88366,2006,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",1520
88367,2006,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",2420
88368,2006,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",4000
88369,2006,"['Racing', 'Simulation']",4230
88370,2006,"['Casual', 'Indie', 'Puzzle']",4900
88371,2006,"['Casual', 'Indie', 'Singleplayer']",2520
88372,2003,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",6200
88373,2006,"['Strategy', 'Simulation', 'Management']",6210
88374,2006,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",6300
88375,2006,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",2990
88376,2005,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",6220
88377,2007,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",6510
88378,2006,"['Strategy', 'City Builder', 'Simulation', 'Rome']",3980
88379,2002,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",1700
88380,2000,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",6310
88381,2006,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",3990
88382,2003,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",7610
88383,2006,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",7600
88385,1998,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",7620
88386,2007,"['Indie', 'Casual', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']",2540
88387,1995,"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']",7650
88388,2007,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",8000
88389,2006,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",6550
88390,2006,"['Point & Click', 'Comedy', 'Adventure', 'Detective', 'Mystery', 'Episodic', 'Funny']",8200
