,item_id,item_name
0,315392,New DLC Available - The Crew Raid Car Pack
1,315394,New DLC Available - The Crew Extreme Car Pack!
2,315396,Id: 315396.0 no name
3,313371,Id: 313371.0 no name
4,313372,Id: 313372.0 no name
5,313375,Id: 313375.0 no name
6,241700,Id: 241700.0 no name
7,8230,Id: 8230.0 no name
8,321580,Id: 321580.0 no name
9,55345,Men of War: Assault Squad 2 invades February 20
10,41010,SERIOUS SAM COLLECTION goes physical for Nintendo Switch!
11,346170,Id: 346170.0 no name
12,235580,The best 4X games on PC
13,225340,XCOM: Long War studio hit their own alien invasion game's Kickstarter goal in six hours
14,34880,Id: 34880.0 no name
15,403520,Id: 403520.0 no name
16,366660,Payday dev Starbreeze says it's paid the majority of its creditors
17,344140,Id: 344140.0 no name
18,405580,Id: 405580.0 no name
19,55381,New Release - Saints Row: The Third - Gangstas in Space DLC
20,325723,New DLC Available - Dying Light: The Bozak Horde
21,325724,Dying Light standalone battle royale game in Early Access next month
22,475230,Id: 475230.0 no name
23,34910,Id: 34910.0 no name
24,450660,Id: 450660.0 no name
25,98421,Hard Reset: Exile Now Available
26,331900,Id: 331900.0 no name
27,465020,Update! Ether issue fixed
28,245910,New DLC Available - Borderlands 2: Headhunter 2: Wattle Gobbler
29,55475,Id: 55475.0 no name
30,297141,Id: 297141.0 no name
31,215256,New DLC Available - Sleeping Dogs: Nightmare in North Point
32,418010,Id: 418010.0 no name
33,213210,New DLC Availble - Borderlands 2: Mr. Torgue’s Campaign of Carnage
34,317660,Id: 317660.0 no name
35,368870,Id: 368870.0 no name
36,213230,New DLC Available - Borderlands 2: Mechromancer Pack
37,338160,Id: 338160.0 no name
38,401650,Id: 401650.0 no name
39,338163,Id: 338163.0 no name
40,366843,New DLC Update- Call of Duty : Black Ops III - Season Pass
41,286971,Id: 286971.0 no name
42,366845,Now Available on Steam - Call of Duty: Black Ops III - Eclipse DLC Pack
43,213250,New DLC Available - Borderlands 2: Sir Hammerlock’s Big Game Hunt
44,235780,The 50 Best Free Games On PC
45,35091,Avalanche-approved Just Cause 2 multiplayer mod releases December 16
46,35110,Just Cause 2 Demo Update Released
47,397610,Id: 397610.0 no name
48,254260,Id: 254260.0 no name
49,323910,Id: 323910.0 no name
50,248140,Id: 248140.0 no name
51,512340,Id: 512340.0 no name
52,92500,Crab Armor Not Really Announced as First Skyrim DLC!
53,270680,Id: 270680.0 no name
54,323930,Id: 323930.0 no name
55,520550,Id: 520550.0 no name
56,311660,Id: 311660.0 no name
57,10604,Empire: Total War Patch Brings AI Tweaks
58,387440,Id: 387440.0 no name
59,399730,Id: 399730.0 no name
60,344450,New DLC Available - Goat Simulator: GoatZ
61,344460,Id: 344460.0 no name
62,354702,Id: 354702.0 no name
63,391570,"Daily Deal - Undertale, 60% Off"
64,410,Portal 2 - Update
65,438690,Id: 438690.0 no name
66,264610,New DLC Available - PAYDAY 2: Armored Transport
67,379310,Id: 379310.0 no name
68,336310,Id: 336310.0 no name
69,440,TFConnect 2023
70,461244,Id: 461244.0 no name
71,317890,Id: 317890.0 no name
72,213450,Bird Watching
73,399834,Id: 399834.0 no name
74,383450,Id: 383450.0 no name
75,322010,Id: 322010.0 no name
76,16870,Civilization V: Brave New World’s final two civs and how to play them
77,457195,Rocket League season 5 drops next week
78,457197,Id: 457197.0 no name
79,246255,Id: 246255.0 no name
80,256500,New DLC Available - Awesomenauts: Starstorm
81,401920,"The Binding of Isaac multiplayer is here, but you'll need to opt in"
82,422400,Id: 422400.0 no name
83,360960,Id: 360960.0 no name
84,391680,Id: 391680.0 no name
85,244230,New Free to Play - War Thunder
86,317960,New DLC Available - Surgeon Simulator - Anniversary Edition Content
87,322060,New DLC Available - Shadow of Mordor: Power of Shadow & Test of Wisdom
88,295438,Id: 295438.0 no name
89,322070,Id: 322070.0 no name
90,223770,Id: 223770.0 no name
91,512540,Ark: Genesis lets you build houses on giant sea turtles
92,33310,R.U.S.E. Going Nuke-Happy in Free DLC
93,350750,Id: 350750.0 no name
94,320030,Id: 320030.0 no name
95,338470,Id: 338470.0 no name
96,297512,Id: 297512.0 no name
97,225833,Id: 225833.0 no name
98,404010,Pre-Purchase Now: Total War: Warhammer
99,404011,Id: 404011.0 no name
100,404012,Revisiting and rating Total War: Warhammer and its DLC
101,404013,Revisiting and rating Total War: Warhammer and its DLC
102,113204,New DLC Available - The Binding of Isaac Wrath of the Lamb
103,570,Gameplay Update 7.34e and What’s Up Next
104,401980,Id: 401980.0 no name
105,332350,Arma 3: Marksmen DLC review
106,229950,Resident Evil 6 is much better than you remember
107,334400,Id: 334400.0 no name
108,211523,New DLC Available - Max Payne 3: Deathmatch Made In Heaven Pack
109,279112,Id: 279112.0 no name
110,326220,Id: 326220.0 no name
111,270940,Id: 270940.0 no name
112,270941,"New DLC Available - AGFPRO Fantasy Side-Scroller Player, 50% off!"
113,440930,Id: 440930.0 no name
114,630,Alien Swarm update released
115,404090,Id: 404090.0 no name
116,463490,Id: 463490.0 no name
117,309890,Id: 309890.0 no name
118,340610,Id: 340610.0 no name
119,313990,TerraTech Free Demo update - March 2016
120,338580,Id: 338580.0 no name
121,440980,Id: 440980.0 no name
122,379542,Id: 379542.0 no name
123,70310,ChatChat: cat-based multiplayer from VVVVVV developer
124,246440,Id: 246440.0 no name
125,379560,Id: 379560.0 no name
126,412332,Id: 412332.0 no name
127,4780,The best Medieval 2: Total War mods
128,414390,Id: 414390.0 no name
129,230090,Borderlands: The Pre-Sequel will be smaller than Borderlands 2
130,322250,Id: 322250.0 no name
131,324300,Id: 324300.0 no name
132,377560,Id: 377560.0 no name
133,238300,New DLC Available - Saints Row IV
134,264930,Id: 264930.0 no name
135,45797,New Release - Super Street Fighter® IV: Arcade Edition Alternate Costume Pack DLCs
136,473850,"New FREE DLC Available - The Center - ARK Expansion Map, ARK: SE 33% off!"
137,420610,Wot I Think: Cities Skylines Snowfall
138,207620,The Walking Dead: The Definitive Series collection is out today
139,340740,Id: 340740.0 no name
140,211720,The Elder Scrolls 5: Skyrim Anniversary Edition has new quests tapping into Morrowind and Oblivion
141,310031,The 50 Best Strategy Games Ever Made
142,314130,Id: 314130.0 no name
143,8990,"Borderlands, Civilization 3 & 4 will survive GameSpy shutdown"
144,6950,Square Enix launches ad-supported browser game portal
145,420650,Id: 420650.0 no name
146,205633,New DLC Availble - Tropico 4: Megalopolis DLC
147,334660,Id: 334660.0 no name
148,361290,Id: 361290.0 no name
149,437070,Id: 437070.0 no name
150,320350,New DLC Available - RER2 Episode Three: Judgment
151,361314,"Weekend Deal - Depth, 50% Off"
152,265061,New DLC Available - APB Reloaded Key to the City Pack & Blood Booster Pack
153,246640,Winners of Intel Level Up Game Demo Contest Released
154,402290,Id: 402290.0 no name
155,267130,Star Swarm June 2014 Update
156,244610,Id: 244610.0 no name
157,273300,"Boo! Outlast is free right now, and its expansion too"
158,385970,"Baldur's Gate, Baldur's Gate 2 and Icewind Dale Enhanced Editions all get a big update"
159,334772,Id: 334772.0 no name
160,203701,Id: 203701.0 no name
161,433080,Id: 433080.0 no name
162,240570,Gunpoint update adds new engine and Steam Workshop support
163,322490,Id: 322490.0 no name
164,334780,Id: 334780.0 no name
165,433090,Id: 433090.0 no name
166,207815,Midweek Madness - PAYDAY: The Heist
167,207816,Id: 207816.0 no name
168,209873,"New DLC Available - Blacklight: Retribution - Sniper Kit, 50% off!"
169,318420,Id: 318420.0 no name
170,330710,The Talos Principle Holiday Sale discount.
171,357360,Endless Legend: Guardians review
172,316410,Id: 316410.0 no name
173,31740,Joseph Datief - Sky Pirate King!
174,328700,Id: 328700.0 no name
175,445440,Id: 445440.0 no name
176,259080,0.3 Released
177,384020,Id: 384020.0 no name
178,384021,Id: 384021.0 no name
179,224280,Id: 224280.0 no name
180,72730,Fallout 1 and 2 dev on storytelling and Fallout 3 vs New Vegas
181,72750,New DLC Available - Fallout New Vegas: Old World Blues
182,410680,Id: 410680.0 no name
183,72760,New DLC Available - Fallout New Vegas: Lonesome Road
184,318520,Id: 318520.0 no name
185,212041,"New DLC Available - Kung Fu Strike: The Warrior's Rise - Master Level, 25% Off!"
186,201805,New DLC Available - Orcs Must Die! 2 - Family Ties Booster Pack
187,394320,"Crusader Kings II: Conclave Arrives, Toting Update"
188,304212,Id: 304212.0 no name
189,318550,Id: 318550.0 no name
190,308310,Id: 308310.0 no name
191,289881,Id: 289881.0 no name
192,353370,Bluetooth connectivity enabled for the Steam Controller
193,17500,Celebrating Half-Life's 25th Anniversary with a ZP1 Gaming Event
194,353380,Steam Link App is Now Available for iOS and Apple TV
195,322660,Id: 322660.0 no name
196,17510,CMW NOW AVAILABLE ON STEAM
197,216173,Now Available - AirMech Soundtrack
198,17520,Rebel Rush: HL Discord
199,267380,New DLC Available - PAYDAY 2: Gage Weapon Pack #01
200,267381,New DLC Available - PAYDAY 2: A Merry Payday Christmas Soundtrack
201,17530,Using RGB highlights to enhance the player experience
202,509060,Id: 509060.0 no name
203,275590,New DLC Available - PAYDAY 2: Gage Weapon Pack #02
204,72840,New Release - Fallout: New Vegas DLCs
205,17550,[Workaround] SteamUserID Ticket
206,490650,Id: 490650.0 no name
207,226459,Id: 226459.0 no name
208,400551,Id: 400551.0 no name
209,281770,Weekend Deal - Daedalic Titles up to 90% Off!
210,289970,Id: 289970.0 no name
211,335030,Id: 335030.0 no name
212,378041,Id: 378041.0 no name
213,91333,New DLC Available - Iron Front : D-Day 1944 DLC
214,337120,Id: 337120.0 no name
215,351461,Id: 351461.0 no name
216,275690,Id: 275690.0 no name
217,275700,Id: 275700.0 no name
218,390390,Id: 390390.0 no name
219,318710,Id: 318710.0 no name
220,249082,Id: 249082.0 no name
221,419070,Id: 419070.0 no name
222,441600,Id: 441600.0 no name
223,234772,Call of Duty Elite shutting down this week
224,306460,Id: 306460.0 no name
225,17700,Community Update #5: Behind the curtain
226,234792,Id: 234792.0 no name
227,329010,Id: 329010.0 no name
228,259380,Id: 259380.0 no name
229,259381,New DLC Available - PAYDAY 2: Gage Mod Courier
230,17730,Id: 17730.0 no name
231,351555,Id: 351555.0 no name
232,318791,New DLC Available - Call of Duty : Advanced Warfare - Havoc
233,17740,Empires 2.35.1 Released!
234,370002,Id: 370002.0 no name
235,257370,New DLC Available - South Park™: The Stick of Truth™ - Ultimate Fellowship Pack
236,226669,Id: 226669.0 no name
237,480630,Id: 480630.0 no name
238,480631,New DLC Available - Fallout 4 Vault-Tec Workshop
239,222587,Id: 222587.0 no name
240,441730,Id: 441730.0 no name
241,318850,Id: 318850.0 no name
242,228740,"Humble Bundle bringing a bundle per day, starting with Deep Silver"
243,376200,Id: 376200.0 no name
244,343462,Id: 343462.0 no name
245,388520,Call of Duty paintball mod lets you return to classic CoD multiplayer
246,343464,Total War: Attila - Age of Charlemagne review
247,218550,New DLC Available - Borderlands 2: Tiny Tina's Assault on Dragon Keep
248,245175,New DLC Available - Skullgirls: Big Band
249,245176,Id: 245176.0 no name
250,468410,Id: 468410.0 no name
251,449980,Id: 449980.0 no name
252,218560,Id: 218560.0 no name
253,437701,Id: 437701.0 no name
254,202181,Id: 202181.0 no name
255,245190,Deadpool Pinball gets behind-the-scenes video
256,400842,Id: 400842.0 no name
257,327130,Id: 327130.0 no name
258,357850,Id: 357850.0 no name
259,208352,Id: 208352.0 no name
260,208362,Id: 208362.0 no name
261,21995,New Release - R.U.S.E.: The Chimera Pack Downloadable Content
262,247293,New DLC Available - Saints Row IV: Dubstep Gun (Remix) Pack
263,71165,Have You Played Streets of Rage 2?
264,247298,New DLC Available - Saints Row IV - The Super Saints Pack
265,247304,New DLC Available - Saints Row IV - Anime Pack
266,339480,Id: 339480.0 no name
267,230940,"Paradox Arctic launched, working on War of the Roses"
268,374301,Id: 374301.0 no name
269,374300,Id: 374300.0 no name
270,353830,Five of the Best: Villains
271,355880,Id: 355880.0 no name
